Feature,Correlation_with_G3
risk_category,0.8576021342406841
failures,-0.3831452797182743
higher,0.23657799566492843
Medu,0.20147169024090716
studytime,0.1616289352029384
Fedu,0.15979604944494472
Dalc,-0.12964212480071244
school,0.12711392929062143
age,-0.12528243256717936
address,0.1176955595983496
Walc,-0.11574000357145983
internet,0.10706388402496927
traveltime,-0.10262711753091323
romantic,-0.09836301617445473
goout,-0.0978772596884402
health,-0.0800786395825788
schoolsup,-0.07934621996352799
freetime,-0.06488967904803555
famsize,-0.061208590024878766
famrel,0.05446105940363334
paid,-0.04938811316002483
absences,-0.04567057698837352
nursery,0.039949559156513506
activities,0.03399837127114869
sex,0.03147205182217939
Pstatus,-0.030693155107326633
famsup,0.013312604225917258
